number_of_match,team_home,team_away,score_home,score_away,posession_home,posession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corner_kicks_home,corner_kicks_away,fouls_home,fouls_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,goal_kicks_home,goal_kicks_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,last_season_position_home,last_season_position_away
0,Fulham,Arsenal,0.0,3.0,46.0,54.0,5.0,13.0,2.0,6.0,2.0,4.0,1.0,3.0,2.0,3.0,12.0,12.0,0.0,0.0,11.0,12.0,4.0,4.0,1.0,9.0,4.0,4.0,523.0,626.0,461.0,562.0,32.0,31.0,2.0,4.0,6.0,6.0,36.0,35.0,8.0,7.0,11.0,12.0,10.0,18.0,18,8
379,Crystal Palace,Arsenal,1.0,3.0,31.0,69.0,12.0,6.0,6.0,3.0,4.0,1.0,2.0,2.0,6.0,7.0,7.0,7.0,0.0,0.0,6.0,6.0,5.0,9.0,9.0,4.0,3.0,2.0,258.0,603.0,181.0,522.0,19.0,33.0,10.0,5.0,6.0,7.0,52.0,41.0,21.0,21.0,20.0,8.0,8.0,11.0,14,8
31,Liverpool,Arsenal,3.0,1.0,66.0,34.0,21.0,4.0,8.0,3.0,7.0,1.0,6.0,0.0,7.0,3.0,11.0,7.0,0.0,0.0,7.0,11.0,3.0,9.0,12.0,3.0,9.0,1.0,772.0,395.0,683.0,299.0,41.0,23.0,3.0,0.0,8.0,5.0,31.0,38.0,6.0,12.0,10.0,11.0,6.0,7.0,1,8
298,West Ham,Arsenal,3.0,3.0,37.0,63.0,15.0,16.0,5.0,7.0,7.0,4.0,3.0,5.0,3.0,5.0,18.0,8.0,0.0,0.0,8.0,15.0,5.0,6.0,15.0,9.0,0.0,7.0,348.0,606.0,257.0,525.0,19.0,14.0,3.0,6.0,7.0,9.0,43.0,57.0,18.0,23.0,12.0,10.0,12.0,9.0,16,8
170,West Bromwich Albion,Arsenal,0.0,4.0,38.0,62.0,7.0,21.0,3.0,12.0,3.0,7.0,1.0,2.0,3.0,5.0,7.0,4.0,0.0,0.0,4.0,7.0,10.0,3.0,4.0,17.0,3.0,4.0,374.0,623.0,278.0,515.0,31.0,23.0,4.0,4.0,10.0,12.0,54.0,48.0,27.0,15.0,13.0,14.0,20.0,16.0,18,8
109,Tottenham,Arsenal,2.0,0.0,30.0,70.0,5.0,11.0,3.0,2.0,1.0,7.0,1.0,2.0,3.0,9.0,16.0,12.0,0.0,0.0,12.0,15.0,11.0,2.0,2.0,6.0,3.0,5.0,288.0,632.0,194.0,548.0,15.0,17.0,0.0,9.0,5.0,11.0,49.0,60.0,19.0,19.0,13.0,15.0,5.0,5.0,6,8
317,Sheffield United,Arsenal,0.0,3.0,45.0,55.0,7.0,14.0,2.0,5.0,2.0,3.0,3.0,6.0,2.0,4.0,9.0,6.0,0.0,0.0,5.0,9.0,5.0,6.0,5.0,8.0,2.0,6.0,469.0,577.0,397.0,514.0,25.0,21.0,1.0,2.0,3.0,8.0,33.0,43.0,9.0,14.0,16.0,12.0,5.0,2.0,18,8
156,Brighton,Arsenal,0.0,1.0,50.0,50.0,13.0,11.0,2.0,3.0,5.0,6.0,6.0,2.0,5.0,4.0,11.0,4.0,0.0,0.0,4.0,11.0,8.0,7.0,9.0,9.0,4.0,2.0,492.0,511.0,404.0,438.0,35.0,23.0,8.0,4.0,13.0,5.0,58.0,37.0,24.0,12.0,17.0,10.0,7.0,10.0,15,8
269,Burnley,Arsenal,1.0,1.0,41.0,59.0,9.0,15.0,5.0,3.0,4.0,6.0,0.0,6.0,2.0,3.0,5.0,12.0,0.0,0.0,10.0,4.0,4.0,6.0,6.0,11.0,3.0,4.0,419.0,595.0,302.0,488.0,40.0,16.0,1.0,4.0,4.0,3.0,55.0,45.0,26.0,26.0,15.0,12.0,11.0,5.0,10,8
44,Manchester City,Arsenal,1.0,0.0,59.0,41.0,13.0,11.0,5.0,3.0,4.0,5.0,4.0,3.0,6.0,6.0,15.0,10.0,0.0,0.0,10.0,15.0,10.0,4.0,8.0,7.0,5.0,4.0,665.0,462.0,591.0,391.0,24.0,21.0,1.0,4.0,10.0,9.0,46.0,49.0,15.0,12.0,11.0,13.0,8.0,6.0,2,8
